"Date","Three Fund Portfolio","Inflation"
"1969-12-31",10000,10000
"1970-01-02",10111.72,10001.71
"1970-01-05",10161.71,10004.28
"1970-01-06",10067.68,10005.13
"1970-01-07",10083.73,10005.99
"1970-01-08",10113.37,10006.85
"1970-01-09",10096.98,10007.7
"1970-01-12",10033.93,10010.27
"1970-01-13",10028.09,10011.12
"1970-01-14",10012.75,10011.98
"1970-01-15",10021.88,10012.83
"1970-01-16",9998.92,10013.69
"1970-01-19",9920.14,10016.26
"1970-01-20",9934.58,10017.11
"1970-01-21",9919.61,10017.97
"1970-01-22",9959.92,10018.82
"1970-01-23",9878.08,10019.68
"1970-01-26",9792.11,10022.25
"1970-01-27",9754.02,10023.1
"1970-01-28",9675.78,10023.96
"1970-01-29",9575.08,10024.81
"1970-01-30",9517.85,10025.67
"1970-02-02",9561.59,10030.31
"1970-02-03",9619.6,10032.21
"1970-02-04",9614.29,10034.1
"1970-02-05",9592.91,10036
"1970-02-06",9651.07,10037.89
"1970-02-09",9748.93,10043.58
"1970-02-10",9682.23,10045.47
"1970-02-11",9725.91,10047.37
"1970-02-12",9689.79,10049.26
"1970-02-13",9741.43,10051.16
"1970-02-16",9729.52,10056.84
"1970-02-17",9684.86,10058.73
"1970-02-18",9773.13,10060.63
"1970-02-19",9803.93,10062.52
"1970-02-20",9779.8,10064.42
"1970-02-24",9788.13,10072
"1970-02-25",9879.73,10073.89
"1970-02-26",9886.78,10075.79
"1970-02-27",9926.56,10077.68
"1970-03-02",9913.48,10083
"1970-03-03",9941.76,10084.71
"1970-03-04",9951.97,10086.42
"1970-03-05",9930.46,10088.13
"1970-03-06",9899.62,10089.84
"1970-03-09",9800.62,10094.98
"1970-03-10",9780.69,10096.69
"1970-03-11",9761.85,10098.4
"1970-03-12",9708.11,10100.11
"1970-03-13",9659.29,10101.82
"1970-03-16",9568.17,10106.96
"1970-03-17",9559.53,10108.67
"1970-03-18",9609.89,10110.38
"1970-03-19",9635.6,10112.09
"1970-03-20",9593.8,10113.8
"1970-03-23",9597.82,10118.94
"1970-03-24",9690.97,10120.65
"1970-03-25",9879.53,10122.36
"1970-03-26",9913.62,10124.07
