"Date","Vcodio's Excellent Adventure","Inflation"
"1994-12-29",10000,10000
"1994-12-30",10000.07,10000
"1995-01-03",9969.38,10003.88
"1995-01-04",10024.74,10005.17
"1995-01-05",10006.96,10006.46
"1995-01-06",10034.36,10007.76
"1995-01-09",10031,10011.64
"1995-01-10",10074.88,10012.93
"1995-01-11",10069,10014.22
"1995-01-12",10027.46,10015.51
"1995-01-13",10137.74,10016.81
"1995-01-16",10201.47,10020.69
"1995-01-17",10224.15,10021.98
"1995-01-18",10207.99,10023.27
"1995-01-19",10128.9,10024.57
"1995-01-20",10034.81,10025.86
"1995-01-23",10006.52,10029.74
"1995-01-24",10010.69,10031.03
"1995-01-25",10047.46,10032.32
"1995-01-26",10046.85,10033.62
"1995-01-27",10155.02,10034.91
"1995-01-30",10121,10038.79
"1995-01-31",10154.18,10040.08
"1995-02-01",10124.58,10041.51
"1995-02-02",10152.34,10042.94
"1995-02-03",10316.11,10044.37
"1995-02-06",10339.37,10048.67
"1995-02-07",10356.21,10050.1
"1995-02-08",10365.83,10051.53
"1995-02-09",10342.69,10052.96
"1995-02-10",10356.76,10054.39
"1995-02-13",10372.6,10058.69
"1995-02-14",10414.35,10060.12
"1995-02-15",10464.64,10061.55
"1995-02-16",10475.48,10062.98
"1995-02-17",10421.53,10064.41
"1995-02-21",10431.95,10070.14
"1995-02-22",10475.61,10071.57
"1995-02-23",10501.53,10073
"1995-02-24",10529.66,10074.43
"1995-02-27",10505.28,10078.73
"1995-02-28",10572.24,10080.16
"1995-03-01",10582.14,10081.24
"1995-03-02",10561.44,10082.32
"1995-03-03",10558.84,10083.39
"1995-03-06",10539.23,10086.62
"1995-03-07",10436.33,10087.7
"1995-03-08",10495.91,10088.78
"1995-03-09",10539.49,10089.86
"1995-03-10",10637.1,10090.93
"1995-03-13",10654.84,10094.17
"1995-03-14",10743.92,10095.24
"1995-03-15",10727.59,10096.32
"1995-03-16",10804.72,10097.4
"1995-03-17",10768.57,10098.48
"1995-03-20",10753.87,10101.71
"1995-03-21",10733.47,10102.79
"1995-03-22",10715.11,10103.86
"1995-03-23",10727.32,10104.94
"1995-03-24",10879.06,10106.02
"1995-03-27",10937.34,10109.25
"1995-03-28",10923.22,10110.33
"1995-03-29",10933.98,10111.41
"1995-03-30",10925.91,10112.48
"1995-03-31",10923.84,10113.56
"1995-04-03",10932.19,10116.9
"1995-04-04",10981.09,10118.01
"1995-04-05",11014.71,10119.13
"1995-04-06",11040.97,10120.24
"1995-04-07",11042.79,10121.35
"1995-04-10",11059.19,10124.69
"1995-04-11",11061.84,10125.81
"1995-04-12",11099.09,10126.92
"1995-04-13",11181.09,10128.03
"1995-04-17",11120.68,10132.49
"1995-04-18",11087.82,10133.6
"1995-04-19",11093.44,10134.71
"1995-04-20",11105.28,10135.83
"1995-04-21",11158.23,10136.94
"1995-04-24",11265.77,10140.28
"1995-04-25",11270.58,10141.39
"1995-04-26",11275.68,10142.51
"1995-04-27",11305.12,10143.62
"1995-04-28",11297.83,10144.73
"1995-05-01",11280.28,10147.61
"1995-05-02",11284.91,10148.25
"1995-05-03",11420.68,10148.9
"1995-05-04",11504,10149.55
"1995-05-05",11582.84,10150.19
"1995-05-08",11640.4,10152.13
"1995-05-09",11671.25,10152.78
"1995-05-10",11650.85,10153.43
"1995-05-11",11631.59,10154.07
"1995-05-12",11651.49,10154.72
"1995-05-15",11714.65,10156.66
"1995-05-16",11786.21,10157.3
"1995-05-17",11784.96,10157.95
"1995-05-18",11636.97,10158.6
"1995-05-19",11621.96,10159.24
"1995-05-22",11681.66,10161.18
"1995-05-23",11809.06,10161.83
"1995-05-24",11888.09,10162.48
"1995-05-25",11924.02,10163.12
"1995-05-26",11842.18,10163.77
"1995-05-30",11883.06,10166.35
"1995-05-31",11987.77,10167
"1995-06-01",12069.52,10167.67
"1995-06-02",12135.6,10168.34
"1995-06-05",12206.14,10170.34
"1995-06-06",12221.32,10171.01
"1995-06-07",12193.27,10171.68
"1995-06-08",12162.52,10172.34
"1995-06-09",11985.12,10173.01
"1995-06-12",12010.7,10175.02
"1995-06-13",12183.97,10175.68
"1995-06-14",12163.51,10176.35
