age,principal_real,principal_nominal,spending_real,spending_nominal,net_withdrawal_real,net_withdrawal_nominal,swr
30,1217281.7993164062,1379343.360916097,70000.0,79319.37807527314,70000.0,79319.37807527314,5.75051726225679
31,1208960.5370163918,1404590.2105125524,70000.0,81327.1498328035,70000.0,81327.1498328035,5.790098010374585
32,1201876.7838698113,1431705.5570508228,70000.0,83385.74331294636,70000.0,83385.74331294636,5.824224324777579
33,1213027.0079389159,1481564.2399379436,70000.0,85496.4449405553,70000.0,85496.4449405553,5.770687671574496
34,1213619.306282636,1519808.0663701433,70000.0,87660.57370311313,70000.0,87660.57370311313,5.767871328152547
35,1196434.2672776575,1536212.745143178,70000.0,89879.48197497317,70000.0,89879.48197497317,5.850718415084899
36,1206365.6064103334,1588172.6752811426,70000.0,92154.5563624647,70000.0,92154.5563624647,5.802552694476453
37,1178091.4125100914,1590208.296996286,70000.0,94487.21857038958,70000.0,94487.21857038958,5.941813959143887
38,1177516.1725625768,1629664.3212500818,70000.0,96878.92629045258,70000.0,96878.92629045258,5.944716652822022
39,1177516.1725625768,1670915.1993817245,70000.0,99331.17411217967,70000.0,99331.17411217967,5.944716652822022
40,1178666.090699845,1714883.2972414321,70000.0,101845.49445689423,70000.0,101845.49445689423,5.938916929258293
41,1160249.4330326598,1730817.9794418737,70000.0,104423.45853533437,70000.0,104423.45853533437,6.033185451944933
42,1155150.680641403,1766830.6455885284,70000.0,107066.67732951003,70000.0,107066.67732951003,6.059815500531252
43,1154022.603804839,1809784.4510449246,70000.0,109776.80259941326,70000.0,109776.80259941326,6.065739073845554
44,1144443.3146130997,1840191.7349330178,70000.0,112555.52791521091,70000.0,112555.52791521091,6.116510892779762
45,1136061.1614298983,1872952.4603800762,70000.0,115404.5897155647,70000.0,115404.5897155647,6.1616400926773
46,1126630.966242248,1904421.0682238434,70000.0,118325.76839273993,70000.0,118325.76839273993,6.213214628164997
47,1121679.9512538787,1944045.8473440118,70000.0,121320.88940518118,70000.0,121320.88940518118,6.240639312644392
48,1108535.2643251223,1969896.0565909827,70000.0,124391.82441824983,70000.0,124391.82441824983,6.3146389882883955
49,1100416.109557116,2004965.8934151158,70000.0,127540.49247383678,70000.0,127540.49247383678,6.361230028536466
50,1083222.107845286,2023596.020832933,70000.0,130768.8611895808,70000.0,130768.8611895808,6.462201933751331
51,1071057.0158138205,2051517.1130851032,70000.0,134078.94798844206,70000.0,134078.94798844206,6.535599782875419
52,1058505.5664097522,2078796.3805568265,70000.0,137472.8213593995,70000.0,137472.8213593995,6.613097013502402
53,1039382.1748291072,2092908.8881507225,70000.0,140952.60215005933,70000.0,140952.60215005933,6.734770106242127
54,1025171.8716576155,2116547.3640877516,70000.0,144520.4648919827,70000.0,144520.4648919827,6.828123355239543
55,1008152.4167570495,2134095.0454354603,70000.0,148178.63915956105,70000.0,148178.63915956105,6.943394553888077
56,990430.987556242,2149651.3791315276,70000.0,151929.41096328743,70000.0,151929.41096328743,7.067630241731004
57,974955.5033756758,2169625.9229522664,70000.0,155775.12417829563,70000.0,155775.12417829563,7.179814848742608
58,955913.4037003695,2181096.4428159213,70000.0,159718.18200905877,70000.0,159718.18200905877,7.322839048916762
59,936309.7108510456,2190443.713734642,70000.0,163761.04849116306,70000.0,163761.04849116306,7.476158709960883
60,907050.0323869505,2175705.278981096,70000.0,167906.25003109567,70000.0,167906.25003109567,7.71732511995962
61,896420.5398199158,2204635.8912905944,70000.0,172156.37698500778,70000.0,172156.37698500778,7.808834903990763
62,868407.3979505434,2189801.96424861,70000.0,176514.0852774408,70000.0,176514.0852774408,8.060732804119496
63,848902.1536606387,2194801.3259717985,70000.0,180982.09806102602,70000.0,180982.09806102602,8.245944446971393
64,823202.967368178,2182231.1854430777,70000.0,185563.20741819576,70000.0,185563.20741819576,8.503370708659322
65,790242.6923075381,2147882.7547022346,70000.0,190260.2761059689,70000.0,190260.2761059689,8.858038256019475
66,764775.886793721,2131280.0562483,70000.0,195076.23934490123,70000.0,195076.23934490123,9.153008248399539
67,732661.2743600003,2093465.5752942534,70000.0,200014.10665331906,45000.0,128580.49713427655,6.141992428808078
68,722644.4209996097,2117110.3387652133,70000.0,205076.9637279812,45000.0,131835.19096798793,6.227128957524229
69,711353.1019214909,2136782.511493095,70000.0,210267.97437234572,45000.0,135172.26923936512,6.3259722743103275
70,709963.7403943004,2186590.776200391,70000.0,215590.38247364573,45000.0,138593.81730448653,6.338351867802129
